NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
865003,843010,840890,3,86,2,1986/03/01,1986/06/09
865033,831750,842410,3,86,1,1986/03/01,1986/06/09
865042,843790,821520,2,86,1,1986/03/01,1986/06/09
865052,832570,832180,2,86,2,1986/03/01,1986/06/09
865092,843530,840740,2,86,2,1986/03/01,1986/06/09
865213,843010,822350,3,86,2,1986/03/01,1986/06/09
865233,831750,820570,3,86,1,1986/03/01,1986/06/09
865242,831750,820570,2,86,2,1986/03/01,1986/06/09
865252,843010,822350,2,86,1,1986/03/01,1986/06/09
865292,843530,814490,2,86,1,1986/03/01,1986/06/09
865302,843530,814490,2,86,2,1986/03/01,1986/06/09
865333,830840,801680,3,86,1,1986/03/01,1986/06/09
865392,832570,831780,2,86,1,1986/03/01,1986/06/09
865422,830840,844530,2,86,2,1986/03/01,1986/06/09
865433,832140,833210,3,86,1,1986/03/01,1986/06/09
865463,843980,801780,3,86,2,1986/03/01,1986/06/09
865512,835260,820160,2,86,2,1986/03/01,1986/06/09
865553,831750,824260,3,86,1,1986/03/01,1986/06/09
865563,831750,824260,3,86,2,1986/03/01,1986/06/09
865583,843790,831390,3,86,1,1986/03/01,1986/06/09
868012,843530,813350,2,86,2,1986/03/01,1986/06/09
868022,843530,813350,2,86,2,1986/03/01,1986/06/09
868032,832570,811140,2,86,1,1986/03/01,1986/06/09
868042,832570,811140,2,86,2,1986/03/01,1986/06/09
868052,840650,843740,2,86,1,1986/03/01,1986/06/09
868072,835260,822270,2,86,1,1986/03/01,1986/06/09
868082,835260,842750,2,86,2,1986/03/01,1986/06/09
870032,851190,814690,2,87,1,1987/03/01,1987/06/09
870053,850210,852470,3,87,1,1987/03/01,1987/06/09
870123,852340,821060,3,87,2,1987/03/01,1987/06/09
870163,852340,811970,3,87,2,1987/03/01,1987/06/09
870172,853450,811820,2,87,1,1987/03/01,1987/06/09
870183,850210,820900,3,87,1,1987/03/01,1987/06/09
870273,850980,851720,3,87,1,1987/03/01,1987/06/09
870282,850190,814410,2,87,1,1987/03/01,1987/06/09
870292,843530,813350,2,87,1,1987/03/01,1987/06/09
870303,850980,854810,3,87,1,1987/03/01,1987/06/09
870402,841880,854020,2,87,1,1987/03/01,1987/06/09
870422,853460,841440,2,87,2,1987/03/01,1987/06/09
870432,853460,841440,2,87,2,1987/03/01,1987/06/09
870502,842800,824250,2,87,2,1987/03/01,1987/06/09
870542,853460,842960,2,87,1,1987/03/01,1987/06/09
870552,853460,842960,2,87,2,1987/03/01,1987/06/09
870563,850980,820570,3,87,1,1987/03/01,1987/06/09
870573,850980,820570,3,87,2,1987/03/01,1987/06/09
870592,850190,840900,2,87,1,1987/03/01,1987/06/09
870613,852340,841620,3,87,1,1987/03/01,1987/06/09
870623,852340,841620,3,87,2,1987/03/01,1987/06/09
870633,850210,851570,3,87,1,1987/03/01,1987/06/09
870643,850210,851570,3,87,2,1987/03/01,1987/06/09
870692,851190,854540,2,87,1,1987/03/01,1987/06/09
870792,851190,832540,2,87,1,1987/03/01,1987/06/09
870803,850980,852210,3,87,1,1987/03/01,1987/06/09
870822,853450,843770,2,87,2,1987/03/01,1987/06/09
870832,850190,844730,2,87,2,1987/03/01,1987/06/09
870842,850190,830890,2,87,2,1987/03/01,1987/06/09
870872,851190,814180,2,87,1,1987/03/01,1987/06/09
870882,851190,814180,2,87,1,1987/03/01,1987/06/09
870973,850210,832260,3,87,1,1987/03/01,1987/06/09
870992,853450,842420,2,87,1,1987/03/01,1987/06/09
871032,851190,822690,2,87,1,1987/03/01,1987/06/09
871052,850190,831390,2,87,2,1987/03/01,1987/06/09
871082,853460,854340,2,87,2,1987/03/01,1987/06/09
871092,853460,852310,2,87,1,1987/03/01,1987/06/09
871102,853460,831470,2,87,2,1987/03/01,1987/06/09
871183,850210,842410,3,87,1,1987/03/01,1987/06/09
871223,850980,840950,3,87,2,1987/03/01,1987/06/09
871253,852340,821170,3,87,1,1987/03/01,1987/06/09
871312,853450,822720,2,87,1,1987/03/01,1987/06/09
871332,853450,843610,2,87,2,1987/03/01,1987/06/09
871342,853570,850280,2,87,1,1987/03/01,1987/06/09
871412,850190,832730,2,87,1,1987/03/01,1987/06/09
871473,850980,833840,3,87,2,1987/03/01,1987/06/09
871483,850980,833840,3,87,2,1987/03/01,1987/06/09
871503,850980,821800,3,87,1,1987/03/01,1987/06/09
871513,850980,821800,3,87,2,1987/03/01,1987/06/09
871572,853460,850120,2,87,2,1987/03/01,1987/06/09
871632,851190,835120,2,87,1,1987/03/01,1987/06/09
871642,851190,835120,2,87,1,1987/03/01,1987/06/09
871772,851190,830410,2,87,2,1987/03/01,1987/06/09
871782,851190,830410,2,87,2,1987/03/01,1987/06/09
871792,850190,850200,2,87,2,1987/03/01,1987/06/09
871892,851190,840890,2,87,2,1987/03/01,1987/06/09
871902,851190,840890,2,87,2,1987/03/01,1987/06/09
871932,853460,814790,2,87,2,1987/03/01,1987/06/09
871942,853460,814790,2,87,2,1987/03/01,1987/06/09
871962,850190,821070,2,87,1,1987/03/01,1987/06/09
871972,850190,821070,2,87,2,1987/03/01,1987/06/09
871993,850210,843240,3,87,1,1987/03/01,1987/06/09
872003,850210,843240,3,87,2,1987/03/01,1987/06/09
872043,850210,833090,3,87,1,1987/03/01,1987/06/09
872082,850190,852320,2,87,2,1987/03/01,1987/06/09
872113,854910,810350,3,87,2,1987/03/01,1987/06/09
872172,853450,831880,2,87,1,1987/03/01,1987/06/09
872223,850980,812220,3,87,1,1987/03/01,1987/06/09
872233,850980,812220,3,87,2,1987/03/01,1987/06/09
872243,852340,840490,3,87,2,1987/03/01,1987/06/09
872253,850980,850950,3,87,2,1987/03/01,1987/06/09
872282,853450,842330,2,87,2,1987/03/01,1987/06/09
872383,850210,831410,3,87,2,1987/03/01,1987/06/09
872463,852340,830880,3,87,1,1987/03/01,1987/06/09
872473,850980,832830,3,87,2,1987/03/01,1987/06/09
872483,854910,830300,3,87,2,1987/03/01,1987/06/09
872512,853460,840960,2,87,2,1987/03/01,1987/06/09
872533,854910,852060,3,87,1,1987/03/01,1987/06/09
872543,854910,852060,3,87,1,1987/03/01,1987/06/09
872562,853540,851640,2,87,1,1987/03/01,1987/06/09
872582,851190,813850,2,87,2,1987/03/01,1987/06/09
872592,851190,813850,2,87,2,1987/03/01,1987/06/09
872622,853460,811020,2,87,1,1987/03/01,1987/06/09
872632,850190,831770,2,87,2,1987/03/01,1987/06/09
872672,853450,840720,2,87,2,1987/03/01,1987/06/09
872682,853450,822350,2,87,2,1987/03/01,1987/06/09
872692,853450,845340,2,87,2,1987/03/01,1987/06/09
872702,853460,813900,2,87,1,1987/03/01,1987/06/09
872712,853460,813900,2,87,2,1987/03/01,1987/06/09
872723,852340,844610,3,87,2,1987/03/01,1987/06/09
872743,850980,852630,3,87,1,1987/03/01,1987/06/09
872772,851190,812620,2,87,1,1987/03/01,1987/06/09
